Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10pF,C_0805_2012Metric,70.526199,28.823801,-90,top
C10,470nF,C_0805_2012Metric,76.3524,75.6666,180,top
C11,470nF,C_0805_2012Metric,76.2762,62.992,180,top
C12,470nF,C_0805_2012Metric,76.2254,50.2158,180,top
C13,470nF,C_0805_2012Metric,76.3524,37.465,180,top
C14,470nF,C_0805_2012Metric,76.134,24.7396,180,top
C15,100nF,C_0805_2012Metric,80.3656,2.0574,0,top
C16,47uF/16V,CP_Elec_5x5.4,74.9808,9.017,-90,top
C17,100nF,C_0805_2012Metric,74.9808,2.0828,0,top
C18,470nF,C_0805_2012Metric,86.5124,2.0574,0,top
C19,470nF,C_0805_2012Metric,54.7878,25.5524,0,top
C2,22pF,C_0805_2012Metric,70.485,38.547,90,top
C20,470nF,C_0805_2012Metric,54.864,35.6108,0,top
C21,470nF,C_0805_2012Metric,54.8894,45.5676,0,top
C22,470nF,C_0805_2012Metric,54.6862,55.8292,0,top
C23,470nF,C_0805_2012Metric,54.7014,65.8114,0,top
C24,470nF,C_0805_2012Metric,54.5998,76.3524,0,top
C25,470nF,C_0805_2012Metric,54.6506,86.7156,0,top
C28,100uF/25V,CP_Elec_6.3x7.7,22.2936,75.4126,90,top
C29,100uF/25V,CP_Elec_6.3x7.7,10.1346,75.3796,90,top
C3,47pF,C_0805_2012Metric,70.3326,48.9204,90,top
C30,10nF,C_0805_2012Metric,114.5286,55.88,90,top
C31,10nF,C_0805_2012Metric,114.8842,82.103,90,top
C32,10nF,C_0805_2012Metric,106.1701,51.1302,0,top
C33,10nF,C_0805_2012Metric,106.2463,56.5912,0,top
C34,10nF,C_0805_2012Metric,106.807,81.3816,0,top
C35,10nF,C_0805_2012Metric,106.7714,86.6648,0,top
C36,47nF,C_0805_2012Metric,18.2118,68.199,180,top
C37,1000uF/16V,CP_Elec_10x10,8.3952,57.1754,0,top
C4,100pF,C_0805_2012Metric,70.4342,59.2582,90,top
C42,100nF,C_0805_2012Metric,47.1322,55.88,0,top
C43,100nF,C_0805_2012Metric,18.1864,6.8834,180,top
C44,100nF,C_0805_2012Metric,33.9852,83.8302,-90,top
C5,220pF,C_0805_2012Metric,70.4088,69.2912,90,top
C6,470pF,C_0805_2012Metric,69.2658,78.5368,90,top
C7,1000pF,C_0805_2012Metric,69.2658,91.2114,90,top
C8,470nF,C_0805_2012Metric,78.1812,88.7374,90,top
C9,470nF,C_0805_2012Metric,78.0796,83.9724,-90,top
D1,1N5711,D_SOD-123,118.3386,55.2714,90,top
D2,1N5711,D_SOD-123,118.491,82.7268,-90,top
D3,ATU_RESET,LED_0805_2012Metric,21.6154,2.7686,0,top
D4,1N4148,D_SOD-123,49.7078,58.801,0,top
Q1,2N7002,SOT-23,80.4187,20.4216,180,top
Q10,2N7002,SOT-23,54.8871,40.3708,180,top
Q11,2N7002,SOT-23,54.8155,50.3682,180,top
Q12,2N7002,SOT-23,54.7601,60.64,180,top
Q13,2N7002,SOT-23,54.6885,70.739,180,top
Q14,2N7002,SOT-23,54.7901,81.2292,180,top
Q15,2N7002,SOT-23,54.6631,91.5924,180,top
Q2,2N7002,SOT-23,73.8655,88.5698,180,top
Q3,2N7002,SOT-23,73.7893,84.0486,180,top
Q4,2N7002,SOT-23,76.2531,71.4502,180,top
Q5,2N7002,SOT-23,76.2277,58.6994,180,top
Q6,2N7002,SOT-23,76.2531,45.8978,180,top
Q7,2N7002,SOT-23,76.2277,33.1724,180,top
Q8,2N7002,SOT-23,76.0753,20.3962,180,top
Q9,2N7002,SOT-23,54.7901,30.099,180,top
R1,49.9/1W,R_1812_4532Metric,123.0884,54.7331,-90,top
R10,10k,R_0805_2012Metric,33.9344,76.0241,90,top
R11,1k,R_0805_2012Metric,33.9852,79.8341,90,top
R12,3k,R_0805_2012Metric,27.2796,2.7686,0,top
R13,3k,R_0805_2012Metric,2.3622,22.606,0,top
R15,7.5K,R_0805_2012Metric,12.6257,86.6902,0,top
R16,10,R_0805_2012Metric,13.4855,68.2244,0,top
R17,750,R_0805_2012Metric,12.6238,90.2208,180,top
R2,49.9/1W,R_1812_4532Metric,123.2154,83.3413,-90,top
R3,68k,R_0805_2012Metric,110.9218,55.8292,-90,top
R4,68k,R_0805_2012Metric,111.379,82.0909,-90,top
R5,34k,R_0805_2012Metric,106.1974,53.8988,180,top
R6,34k,R_0805_2012Metric,106.7835,84.1502,180,top
R7,10k,R_0805_2012Metric,50.7765,55.88,0,top
R8,10k,R_0805_2012Metric,33.9344,68.0485,90,top
R9,10k,R_0805_2012Metric,33.9344,71.9582,90,top
RLY1,G6K-2F-Y,G6K-2F-Y DC3,83.4898,10.16,0,top
RLY10,G6K-2F-Y,G6K-2F-Y DC3,62.6364,38.6334,0,top
RLY11,G6K-2F-Y,G6K-2F-Y DC3,62.550599,48.712001,0,top
RLY12,G6K-2F-Y,G6K-2F-Y DC3,62.550599,58.872001,0,top
RLY13,G6K-2F-Y,G6K-2F-Y DC3,62.560398,69.133601,0,top
RLY14,G6K-2F-Y,G6K-2F-Y DC3,62.601399,79.496801,0,top
RLY15,G6K-2F-Y,G6K-2F-Y DC3,62.5348,90.043,0,top
RLY2,G6K-2F-Y,G6K-2F-Y DC3,85.0646,90.5002,0,top
RLY3,G6K-2F-Y,G6K-2F-Y DC3,85.0646,80.0862,0,top
RLY4,G6K-2F-Y,G6K-2F-Y DC3,85.09,69.6468,0,top
RLY5,G6K-2F-Y,G6K-2F-Y DC3,85.09,59.2582,0,top
RLY6,G6K-2F-Y,G6K-2F-Y DC3,85.217,48.8696,0,top
RLY7,G6K-2F-Y,G6K-2F-Y DC3,85.115598,38.689399,0,top
RLY8,G6K-2F-Y,G6K-2F-Y DC3,84.9884,28.4734,0,top
RLY9,G6K-2F-Y,G6K-2F-Y DC3,62.611,28.5496,0,top
U1,PIC16F1938-I_SS,PIC16F1938-X&slash_SS_MCH-M,43.8988,76.5048,90,top
U4,LM386MMX-1,M08A_TEX,21.4884,87.376,270,top